Count	Time	Value	Diff	Status
0	16/08/2013 18:05:01 CEST	4.092,77	0,00	Confirmed Reference index
0	16/08/2013 18:05:01 CEST	4.123,89	0,00	Closing Reference index
0	16/08/2013 18:00:00 CEST	4.092,77	0,00	Confirmed Reference index
0	16/08/2013 18:00:00 CEST	4.123,89	0,00	Closing Reference index
0	16/08/2013 17:35:15 CEST	4.123,89	0,00	Real-time index
0	16/08/2013 17:30:00 CEST	4.119,23	0,00	Real-time index
0	16/08/2013 17:29:45 CEST	4.121,04	0,00	Real-time index
0	16/08/2013 17:29:30 CEST	4.119,53	0,00	Real-time index
0	16/08/2013 17:29:15 CEST	4.119,46	0,00	Real-time index
0	16/08/2013 17:29:00 CEST	4.119,39	0,00	Real-time index
0	16/08/2013 17:28:45 CEST	4.118,98	0,00	Real-time index
0	16/08/2013 17:28:30 CEST	4.118,86	0,00	Real-time index
0	16/08/2013 17:28:15 CEST	4.118,53	0,00	Real-time index
0	16/08/2013 17:28:00 CEST	4.118,20	0,00	Real-time index
0	16/08/2013 17:27:45 CEST	4.118,31	0,00	Real-time index
0	16/08/2013 17:27:30 CEST	4.117,96	0,00	Real-time index
0	16/08/2013 17:27:15 CEST	4.117,09	0,00	Real-time index
0	16/08/2013 17:27:00 CEST	4.117,66	0,00	Real-time index
0	16/08/2013 17:26:45 CEST	4.118,11	0,00	Real-time index
0	16/08/2013 17:26:30 CEST	4.118,43	0,00	Real-time index
0	16/08/2013 17:26:00 CEST	4.118,17	0,00	Real-time index
0	16/08/2013 17:25:45 CEST	4.118,38	0,00	Real-time index
0	16/08/2013 17:25:30 CEST	4.118,64	0,00	Real-time index
0	16/08/2013 17:25:15 CEST	4.119,06	0,00	Real-time index
0	16/08/2013 17:25:00 CEST	4.118,72	0,00	Real-time index
0	16/08/2013 17:24:45 CEST	4.119,04	0,00	Real-time index
0	16/08/2013 17:24:30 CEST	4.119,80	0,00	Real-time index
0	16/08/2013 17:24:00 CEST	4.119,67	0,00	Real-time index
0	16/08/2013 17:23:45 CEST	4.119,75	0,00	Real-time index
0	16/08/2013 17:23:30 CEST	4.120,13	0,00	Real-time index
0	16/08/2013 17:23:15 CEST	4.120,20	0,00	Real-time index
0	16/08/2013 17:23:00 CEST	4.120,29	0,00	Real-time index
0	16/08/2013 17:22:45 CEST	4.119,55	0,00	Real-time index
0	16/08/2013 17:22:30 CEST	4.119,60	0,00	Real-time index
0	16/08/2013 17:22:15 CEST	4.119,55	0,00	Real-time index
0	16/08/2013 17:22:00 CEST	4.119,30	0,00	Real-time index
0	16/08/2013 17:21:45 CEST	4.119,58	0,00	Real-time index
0	16/08/2013 17:21:30 CEST	4.120,45	0,00	Real-time index
0	16/08/2013 17:21:15 CEST	4.120,17	0,00	Real-time index
0	16/08/2013 17:21:00 CEST	4.119,62	0,00	Real-time index
0	16/08/2013 17:20:45 CEST	4.120,25	0,00	Real-time index
0	16/08/2013 17:20:30 CEST	4.120,35	0,00	Real-time index
0	16/08/2013 17:20:15 CEST	4.120,20	0,00	Real-time index
0	16/08/2013 17:20:00 CEST	4.120,23	0,00	Real-time index
0	16/08/2013 17:19:45 CEST	4.120,10	0,00	Real-time index
0	16/08/2013 17:19:30 CEST	4.121,90	0,00	Real-time index
0	16/08/2013 17:19:15 CEST	4.121,96	0,00	Real-time index
0	16/08/2013 17:19:00 CEST	4.121,77	0,00	Real-time index
0	16/08/2013 17:18:45 CEST	4.121,57	0,00	Real-time index
0	16/08/2013 17:18:30 CEST	4.120,34	0,00	Real-time index
0	16/08/2013 17:18:15 CEST	4.120,04	0,00	Real-time index
0	16/08/2013 17:18:00 CEST	4.118,76	0,00	Real-time index
0	16/08/2013 17:17:45 CEST	4.118,80	0,00	Real-time index
0	16/08/2013 17:17:30 CEST	4.118,82	0,00	Real-time index
0	16/08/2013 17:17:15 CEST	4.118,99	0,00	Real-time index
0	16/08/2013 17:17:00 CEST	4.118,91	0,00	Real-time index
0	16/08/2013 17:16:45 CEST	4.118,87	0,00	Real-time index
0	16/08/2013 17:16:30 CEST	4.118,80	0,00	Real-time index
0	16/08/2013 17:16:15 CEST	4.118,65	0,00	Real-time index
0	16/08/2013 17:16:00 CEST	4.118,68	0,00	Real-time index
0	16/08/2013 17:15:45 CEST	4.118,70	0,00	Real-time index
0	16/08/2013 17:15:30 CEST	4.118,91	0,00	Real-time index
0	16/08/2013 17:15:15 CEST	4.119,04	0,00	Real-time index
0	16/08/2013 17:15:00 CEST	4.119,07	0,00	Real-time index
0	16/08/2013 17:14:45 CEST	4.118,90	0,00	Real-time index
0	16/08/2013 17:14:30 CEST	4.119,03	0,00	Real-time index
0	16/08/2013 17:14:15 CEST	4.119,32	0,00	Real-time index
0	16/08/2013 17:14:00 CEST	4.119,48	0,00	Real-time index
0	16/08/2013 17:13:45 CEST	4.119,27	0,00	Real-time index
0	16/08/2013 17:13:30 CEST	4.118,95	0,00	Real-time index
0	16/08/2013 17:13:15 CEST	4.119,06	0,00	Real-time index
0	16/08/2013 17:13:00 CEST	4.119,34	0,00	Real-time index
0	16/08/2013 17:12:45 CEST	4.119,13	0,00	Real-time index
0	16/08/2013 17:12:30 CEST	4.119,17	0,00	Real-time index
0	16/08/2013 17:12:15 CEST	4.118,99	0,00	Real-time index
0	16/08/2013 17:12:00 CEST	4.118,62	0,00	Real-time index
0	16/08/2013 17:11:45 CEST	4.118,74	0,00	Real-time index
0	16/08/2013 17:11:15 CEST	4.118,91	0,00	Real-time index
0	16/08/2013 17:11:00 CEST	4.118,00	0,00	Real-time index
0	16/08/2013 17:10:45 CEST	4.118,37	0,00	Real-time index
0	16/08/2013 17:10:30 CEST	4.118,82	0,00	Real-time index
0	16/08/2013 17:10:15 CEST	4.119,28	0,00	Real-time index
0	16/08/2013 17:10:00 CEST	4.119,55	0,00	Real-time index
0	16/08/2013 17:09:45 CEST	4.120,29	0,00	Real-time index
0	16/08/2013 17:09:30 CEST	4.121,57	0,00	Real-time index
0	16/08/2013 17:09:15 CEST	4.122,00	0,00	Real-time index
0	16/08/2013 17:09:00 CEST	4.122,60	0,00	Real-time index
0	16/08/2013 17:08:45 CEST	4.122,71	0,00	Real-time index
0	16/08/2013 17:08:30 CEST	4.123,03	0,00	Real-time index
0	16/08/2013 17:08:15 CEST	4.123,11	0,00	Real-time index
0	16/08/2013 17:08:00 CEST	4.122,40	0,00	Real-time index
